sex,age,micromortsPerDay,,,,,,
Male,0,17.4,,,,,,
Male,1,1.2,,,,,,
Male,2,0.8,,,,,,
Male,3,0.6,,,,,,
Male,4,0.5,,,,,,
Male,5,0.4,,,,,,
Male,6,0.4,,,,,,
Male,7,0.4,,,,,,
Male,8,0.3,,,,,,
Male,9,0.3,,,,,,
Male,10,0.2,,,,,,
Male,11,0.3,,,,,,
Male,12,0.4,,,,,,
Male,13,0.6,,,,,,
Male,14,0.9,,,,,,
Male,15,1.2,,,,,,
Male,16,1.5,,,,,,
Male,17,1.9,,,,,,
Male,18,2.3,,,,,,
Male,19,2.8,,,,,,
Male,20,3.2,,,,,,
Male,21,3.6,,,,,,
Male,22,4,,,,,,
Male,23,4.2,,,,,,
Male,24,4.3,,,,,,
Male,25,4.4,,,,,,
Male,26,4.5,,,,,,
Male,27,4.6,,,,,,
Male,28,4.7,,,,,,
Male,29,4.8,,,,,,
Male,30,4.9,,,,,,
Male,31,5,,,,,,
Male,32,5.2,,,,,,
Male,33,5.3,,,,,,
Male,34,5.4,,,,,,
Male,35,5.6,,,,,,
Male,36,5.8,,,,,,
Male,37,6,,,,,,
Male,38,6.2,,,,,,
Male,39,6.4,,,,,,
Male,40,6.6,,,,,,
Male,41,6.9,,,,,,
Male,42,7.3,,,,,,
Male,43,7.7,,,,,,
Male,44,8.3,,,,,,
Male,45,8.8,,,,,,
Male,46,9.5,,,,,,
Male,47,10.4,,,,,,
Male,48,11.3,,,,,,
Male,49,12.5,,,,,,
Male,50,13.7,,,,,,
Male,51,15,,,,,,
Male,52,16.5,,,,,,
Male,53,18,,,,,,
Male,54,19.6,,,,,,
Male,55,21.4,,,,,,
Male,56,23.2,,,,,,
Male,57,25.2,,,,,,
Male,58,27.2,,,,,,
Male,59,29.3,,,,,,
Male,60,31.6,,,,,,
Male,61,34.1,,,,,,
Male,62,36.4,,,,,,
Male,63,38.7,,,,,,
Male,64,40.9,,,,,,
Male,65,43.3,,,,,,
Male,66,46.2,,,,,,
Male,67,49.6,,,,,,
Male,68,53.5,,,,,,
Male,69,58.1,,,,,,
Male,70,63.3,,,,,,
Male,71,69.2,,,,,,
Male,72,75.6,,,,,,
Male,73,82.4,,,,,,
Male,74,89.8,,,,,,
Male,75,98.5,,,,,,
Male,76,108.5,,,,,,
Male,77,119.2,,,,,,
Male,78,130.7,,,,,,
Male,79,143.4,,,,,,
Male,80,158.1,,,,,,
Male,81,175,,,,,,
Male,82,193.9,,,,,,
Male,83,214.9,,,,,,
Male,84,238.3,,,,,,
Male,85,264.7,,,,,,
Male,86,294.2,,,,,,
Male,87,327.3,,,,,,
Male,88,364,,,,,,
Male,89,404.4,,,,,,
Male,90,448.5,,,,,,
Male,91,496.2,,,,,,
Male,92,547.4,,,,,,
Male,93,602.1,,,,,,
Male,94,660,,,,,,
Male,95,717.4,,,,,,
Male,96,773.2,,,,,,
Male,97,826.2,,,,,,
Male,98,875.1,,,,,,
Male,99,918.9,,,,,,
Male,100,964.8,,,,,,
Male,101,"1,013.10",,,,,,
Male,102,"1,063.70",,,,,,
Male,103,"1,116.90",,,,,,
Male,104,"1,172.80",,,,,,
Male,105,"1,231.40",,,,,,
Male,106,"1,293.00",,,,,,
Male,107,"1,357.60",,,,,,
Male,108,"1,425.50",,,,,,
Male,109,"1,496.80",,,,,,
Male,110,"1,571.60",,,,,,
Male,111,"1,650.20",,,,,,
Male,112,"1,732.70",,,,,,
Male,113,"1,819.30",,,,,,
Male,114,"1,910.30",,,,,,
Male,115,"2,005.80",,,,,,
Male,116,"2,106.10",,,,,,
Male,117,"2,211.40",,,,,,
Male,118,"2,322.00",,,,,,
Male,119,"2,438.10",,,,,,
Female,0,14.6,,,,,,
Female,1,1,,,,,,
Female,2,0.7,,,,,,
Female,3,0.5,,,,,,
Female,4,0.4,,,,,,
Female,5,0.4,,,,,,
Female,6,0.3,,,,,,
Female,7,0.3,,,,,,
Female,8,0.3,,,,,,
Female,9,0.3,,,,,,
Female,10,0.3,,,,,,
Female,11,0.3,,,,,,
Female,12,0.3,,,,,,
Female,13,0.4,,,,,,
Female,14,0.5,,,,,,
Female,15,0.6,,,,,,
Female,16,0.7,,,,,,
Female,17,0.8,,,,,,
Female,18,0.9,,,,,,
Female,19,1,,,,,,
Female,20,1.2,,,,,,
Female,21,1.3,,,,,,
Female,22,1.4,,,,,,
Female,23,1.5,,,,,,
Female,24,1.6,,,,,,
Female,25,1.6,,,,,,
Female,26,1.7,,,,,,
Female,27,1.8,,,,,,
Female,28,1.9,,,,,,
Female,29,2.1,,,,,,
Female,30,2.2,,,,,,
Female,31,2.3,,,,,,
Female,32,2.5,,,,,,
Female,33,2.6,,,,,,
Female,34,2.8,,,,,,
Female,35,2.9,,,,,,
Female,36,3.1,,,,,,
Female,37,3.3,,,,,,
Female,38,3.5,,,,,,
Female,39,3.6,,,,,,
Female,40,3.8,,,,,,
Female,41,4.1,,,,,,
Female,42,4.4,,,,,,
Female,43,4.7,,,,,,
Female,44,5.1,,,,,,
Female,45,5.6,,,,,,
Female,46,6.1,,,,,,
Female,47,6.6,,,,,,
Female,48,7.3,,,,,,
Female,49,8,,,,,,
Female,50,8.7,,,,,,
Female,51,9.6,,,,,,
Female,52,10.4,,,,,,
Female,53,11.3,,,,,,
Female,54,12.2,,,,,,
Female,55,13.2,,,,,,
Female,56,14.3,,,,,,
Female,57,15.4,,,,,,
Female,58,16.4,,,,,,
Female,59,17.5,,,,,,
Female,60,18.8,,,,,,
Female,61,20.2,,,,,,
Female,62,21.6,,,,,,
Female,63,23.2,,,,,,
Female,64,24.8,,,,,,
Female,65,26.7,,,,,,
Female,66,29,,,,,,
Female,67,31.6,,,,,,
Female,68,34.6,,,,,,
Female,69,38.1,,,,,,
Female,70,42.2,,,,,,
Female,71,46.8,,,,,,
Female,72,51.7,,,,,,
Female,73,56.7,,,,,,
Female,74,62.2,,,,,,
Female,75,68.6,,,,,,
Female,76,76.1,,,,,,
Female,77,84.4,,,,,,
Female,78,93.8,,,,,,
Female,79,104.3,,,,,,
Female,80,116.5,,,,,,
Female,81,130.6,,,,,,
Female,82,146,,,,,,
Female,83,162.7,,,,,,
Female,84,181.2,,,,,,
Female,85,202.1,,,,,,
Female,86,225.9,,,,,,
Female,87,253.1,,,,,,
Female,88,283.7,,,,,,
Female,89,317.8,,,,,,
Female,90,355.4,,,,,,
Female,91,396.3,,,,,,
Female,92,440.4,,,,,,
Female,93,487.6,,,,,,
Female,94,537.7,,,,,,
Female,95,588.4,,,,,,
Female,96,638.8,,,,,,
Female,97,688.1,,,,,,
Female,98,735.3,,,,,,
Female,99,779.4,,,,,,
Female,100,826.2,,,,,,
Female,101,875.7,,,,,,
Female,102,928.3,,,,,,
Female,103,984,,,,,,
Female,104,"1,043.00",,,,,,
Female,105,"1,105.60",,,,,,
Female,106,"1,171.90",,,,,,
Female,107,"1,242.20",,,,,,
Female,108,"1,316.80",,,,,,
Female,109,"1,395.80",,,,,,
Female,110,"1,479.50",,,,,,
Female,111,"1,568.30",,,,,,
Female,112,"1,662.40",,,,,,
Female,113,"1,762.10",,,,,,
Female,114,"1,867.90",,,,,,
Female,115,"1,980.00",,,,,,
Female,116,"2,098.70",,,,,,
Female,117,"2,211.40",,,,,,
Female,118,"2,322.00",,,,,,
Female,119,"2,438.10",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,